(2, 3, 10, 1, 2850);ו;ם;ת;א;ם;י;צ;ח;ל;ם;י;ר;צ;מ;ר;ש;א;ץ;ח;ל;ה;ת;א;י;ת;י;א;ר;ם;ג;ו;י;ל;א;ה;א;ב;ל;א;ר;ש;י;י;נ;ב;ת;ק;ע;צ;ה;(2, 3, 9, 7, 2801)
(2, 3, 11, 8, 2900);ה;ש;מ;ר;מ;א;י;ו;ם;י;ר;צ;מ;מ;ל;א;ר;ש;י;י;נ;ב;י;מ;ע;ת;א;א;צ;ו;ה;ו;ה;ע;ר;פ;ל;א;ך;ח;ל;ש;א;ו;ה;כ;ל;ה;ת;ע;(2, 3, 10, 2, 2851)
(2, 3, 12, 1, 2950);ו;ם;י;ר;צ;מ;מ;ל;א;ר;ש;י;י;נ;ב;ת;א;א;י;צ;ו;א;י;כ;ו;ה;ע;ר;פ;ל;א;ך;ל;א;י;כ;י;כ;נ;א;י;מ;ם;י;ה;ל;א;ה;ל;א;(2, 3, 11, 9, 2901)
(2, 3, 12, 51, 3000);ר;צ;מ;מ;ם;ע;ה;ת;א;ך;א;י;צ;ו;ה;ב;ך;י;ת;ח;ל;ש;י;כ;נ;א;י;כ;ת;ו;א;ה;ך;ל;ה;ז;ו;ך;מ;ע;ה;י;ה;א;י;כ;ר;מ;א;י;(2, 3, 12, 2, 2951)
(2, 3, 13, 26, 3050);א;א;ב;י;כ;נ;א;ה;נ;ה;ם;י;ה;ל;א;ה;ל;א;ה;ש;מ;ר;מ;א;י;ו;ה;ז;ה;ר;ה;ה;ל;ע;ם;י;ה;ל;א;ה;ת;א;ן;ו;ד;ב;ע;ת;ם;י;(2, 3, 12, 52, 3001)
(2, 3, 13, 76, 3100);מ;ש;ה;מ;י;ל;ו;ר;מ;א;ו;ם;כ;י;ל;א;י;נ;ח;ל;ש;ם;כ;י;ת;ו;ב;א;י;ה;ל;א;ם;ה;ל;י;ת;ר;מ;א;ו;ל;א;ר;ש;י;י;נ;ב;ל;(2, 3, 13, 27, 3051)
(2, 3, 14, 40, 3150);נ;ב;ל;ר;מ;א;ת;ה;כ;ר;מ;א;י;ו;ה;י;ה;א;ר;ש;א;ה;י;ה;א;ה;ש;מ;ל;א;ם;י;ה;ל;א;ר;מ;א;י;ו;ם;ה;ל;א;ר;מ;א;ה;מ;ו;(2, 3, 13, 77, 3101)
(2, 3, 15, 30, 3200);י;י;נ;ב;ל;א;ר;מ;א;ת;ה;כ;ה;ש;מ;ל;א;ם;י;ה;ל;א;ד;ו;ע;ר;מ;א;י;ו;ם;כ;י;ל;א;י;נ;ח;ל;ש;ה;י;ה;א;ל;א;ר;ש;י;י;(2, 3, 14, 41, 3151)
(2, 3, 15, 80, 3250);א;י;נ;ח;ל;ש;ב;ק;ע;י;י;ה;ל;א;ו;ק;ח;צ;י;י;ה;ל;א;ם;ה;ר;ב;א;י;ה;ל;א;ם;כ;י;ת;ב;א;י;ה;ל;א;ה;ו;ה;י;ל;א;ר;ש;(2, 3, 15, 31, 3201)
(2, 3, 16, 25, 3300);ל;א;ת;ר;מ;א;ו;ל;א;ר;ש;י;י;נ;ק;ז;ת;א;ת;פ;ס;א;ו;ך;ל;ר;ד;ר;ד;ל;י;ר;כ;ז;ה;ז;ו;ם;ל;ע;ל;י;מ;ש;ה;ז;ם;כ;י;ל;(2, 3, 15, 81, 3251)
(2, 3, 16, 75, 3350);ק;פ;ד;ק;פ;ר;מ;א;ל;ב;ק;ע;י;ו;ק;ח;צ;י;ם;ה;ר;ב;א;י;ה;ל;א;י;ל;א;ה;א;ר;נ;ם;כ;י;ת;ב;א;י;ה;ל;א;ה;ו;ה;י;ם;ה;(2, 3, 16, 26, 3301)
(2, 3, 17, 26, 3400);ץ;ר;א;ל;א;ם;י;ר;צ;מ;י;נ;ע;מ;ם;כ;ת;א;ה;ל;ע;א;ר;מ;א;ו;ם;י;ר;צ;מ;ב;ם;כ;ל;י;ו;ש;ע;ה;ת;א;ו;ם;כ;ת;א;י;ת;ד;(2, 3, 16, 76, 3351)
(2, 3, 17, 76, 3450);ש;ב;ד;ו;ב;ל;ח;ת;ב;ז;ץ;ר;א;ל;א;י;ס;ו;ב;י;ה;ו;י;ו;ח;ה;ו;י;ז;ר;פ;ה;ו;י;ר;מ;א;ה;ו;י;ת;ח;ה;ו;י;נ;ע;נ;כ;ה;(2, 3, 17, 27, 3401)
(2, 3, 18, 50, 3500);ה;ו;ה;י;ו;י;ל;א;ם;ת;ר;מ;א;ו;ם;י;ר;צ;מ;ך;ל;מ;ל;א;ל;א;ר;ש;י;י;נ;ק;ז;ו;ה;ת;א;ת;א;ב;ו;ך;ל;ק;ל;ו;ע;מ;ש;ו;(2, 3, 18, 1, 3451)
(2, 3, 18, 100, 3550);ב;ז;נ;ו;ר;ב;ד;מ;ב;ם;י;מ;י;ת;ש;ל;ש;ך;ר;ד;א;נ;ה;כ;ל;נ;ה;ת;ע;ו;ו;נ;י;ל;ע;ה;ר;ק;נ;ם;י;י;ר;ב;ע;ה;י;ה;ל;א;(2, 3, 18, 51, 3501)
(2, 3, 19, 37, 3600);י;ב;א;ל;ו;ך;ל;ה;ל;ם;י;ר;צ;מ;ך;ל;מ;ם;כ;ת;א;ן;ת;י;א;ל;י;כ;י;ת;ע;ד;י;י;נ;א;ו;ו;נ;י;ה;ל;א;ה;ו;ה;י;ל;ה;ח;(2, 3, 18, 101, 3551)
(2, 3, 20, 45, 3650);ו;ב;ר;ק;ב;ה;ש;ע;א;ר;ש;א;י;ת;א;ל;פ;נ;ל;כ;ב;ם;י;ר;צ;מ;ת;א;י;ת;י;כ;ה;ו;י;ד;י;ת;א;י;ת;ח;ל;ש;ו;ה;ק;ז;ח;ד;(2, 3, 19, 38, 3601)
(2, 3, 21, 35, 3700);ו;כ;ל;ת;י;כ;ה;י;ה;ו;ם;י;ר;צ;מ;י;נ;י;ע;ב;ה;ז;ה;ם;ע;ה;ן;ח;ת;א;י;ת;ת;נ;ו;ם;כ;ת;א;ח;ל;ש;י;ן;כ;י;ר;ח;א;ו;(2, 3, 20, 46, 3651)
(2, 3, 22, 39, 3750);מ;ש;ו;ב;ה;ז;י;ל;כ;ו;ף;ס;כ;י;ל;כ;ה;ת;י;ב;ת;ר;ג;מ;ו;ה;ת;נ;כ;ש;מ;ה;ש;א;ה;ל;א;ש;ו;ם;ק;י;ר;ו;כ;ל;ת;א;ל;ן;(2, 3, 21, 36, 3701)
(2, 4, 1, 14, 3800);ה;ו;ר;מ;א;י;ו;ה;ש;מ;ן;ע;י;ו;ם;י;ר;צ;מ;ת;א;ם;ת;ל;צ;נ;ו;ם;כ;י;ת;נ;ב;ל;ע;ו;ם;כ;י;נ;ב;ל;ע;ם;ת;מ;ש;ו;ת;ל;(2, 3, 22, 40, 3751)
(2, 4, 2, 6, 3850);א;ר;מ;א;י;ו;ה;ו;ה;י;ך;י;ל;א;ה;א;ר;נ;א;ל;ו;ר;מ;א;י;י;כ;י;ל;ק;ב;ו;ע;מ;ש;י;א;ל;ו;י;ל;ו;נ;י;מ;א;י;א;ל;ן;(2, 4, 1, 15, 3801)
(2, 4, 3, 28, 3900);ו;ה;צ;ר;א;ו;ה;כ;ל;ש;י;ו;ה;צ;ר;א;ו;ה;כ;י;ל;ש;ה;ר;מ;א;י;ו;ה;ט;מ;ר;מ;א;י;ו;ך;ד;י;ב;ה;ז;מ;ה;ו;ה;י;ו;י;ל;(2, 4, 2, 7, 3851)
(2, 4, 4, 31, 3950);י;ו;ו;ב;נ;ז;ב;ז;ח;א;ו;ך;ד;י;ח;ל;ש;ה;ש;מ;ל;א;ה;ו;ה;י;ר;מ;א;י;ו;ו;י;נ;פ;מ;ה;ש;מ;ס;נ;י;ו;ש;ח;נ;ל;י;ה;י;(2, 4, 3, 29, 3901)
(2, 4, 5, 25, 4000);א;ה;ו;ה;י;ך;י;ל;א;ה;א;ר;נ;י;כ;ו;נ;י;מ;א;י;ן;ע;מ;ל;ו;פ;כ;ב;ה;ט;מ;ל;י;ה;י;ו;ו;ב;ק;ז;ח;י;ו;ו;ד;י;ח;ל;ש;(2, 4, 4, 32, 3951)
(2, 4, 6, 17, 4050);א;ב;ה;ד;ו;ע;ו;ל;ה;ו;ה;י;ר;מ;א;י;ו;ב;ק;ע;י;י;ה;ל;א;ו;ק;ח;צ;י;י;ה;ל;א;ם;ה;ר;ב;א;י;ה;ל;א;ם;ת;ב;א;י;ה;ל;(2, 4, 5, 26, 4001)
